WindDir3pm;WindDir3pmX;WindDir3pmY
N;0;1
NNE;0.38268343236509;0.923879532511287
NE;0.707106781186547;0.707106781186547
ENE;0.923879532511287;0.38268343236509
E;1;0
ESE;0.923879532511287;-0.38268343236509
SE;0.707106781186548;-0.707106781186547
SSE;0.38268343236509;-0.923879532511287
S;0;-1
SSW;-0.38268343236509;-0.923879532511287
SW;-0.707106781186547;-0.707106781186548
WSW;-0.923879532511287;-0.38268343236509
W;-1;0
WNW;-0.923879532511287;0.38268343236509
NW;-0.707106781186548;0.707106781186547
NNW;-0.38268343236509;0.923879532511287
